superevent_id	classification	distance	area(90)	vol(90)	HasNS	HasRemnant	BNS	NSBH	BBH	Terrestrial
S230924an	BBH	2216.324444752626	1150.4219552337913	970254197.1729519	0.0	0.0	0.0	0.0	0.9999806065524762	1.9393447523774476e-05
S230927be	BBH	1049.6111118325805	527.1523911073729	80988394.65551727	0.0	0.0	0.0	0.0	0.9996578739974026	0.00034212600259742043
S230927l	BBH	3341.125876945519	1851.134334250792	3770798063.732899	0.0	0.0	0.0	0.0	0.9757501063003873	0.024249893699612723
S230928cb	BBH	5557.191242628338	3093.138861524738	16624562561.291147	0.0	0.0	0.0	0.0	0.9999721212383053	2.7878761694744014e-05
S230930al	BBH	5084.35917466866	2798.9569804473617	13576362142.553509	0.0	0.0	2.2241150892849075e-17	1.649609635543844e-15	0.9939272388637214	0.006072761136276972
S231001aq	BBH	1555.141794986571	4091.466433862313	1655707762.2902782	0.0	0.0	2.766204781563856e-24	2.170215506727908e-22	0.9960470074647623	0.0039529925352377315
S231005ah	BBH	4079.2122988707733	2412.2451548698978	7761789809.05665	0.0	0.0	1.3900269634688149e-18	1.020090511515639e-16	0.998461512239961	0.0015384877600388425
S231005j	BBH	6154.237806821221	5110.534494560066	32253795834.04293	0.0	0.0	2.761184748620557e-20	2.3332930716612938e-18	0.9784436522909086	0.021556347709091428
S231008ap	BBH	3271.1764068569482	3290.478822512176	7384774395.408458	0.0	0.0	7.220512462698563e-21	5.414199172843872e-19	0.9985948440234867	0.0014051559765132504
S231014r	BBH	2829.8566817250858	1807.4571344961596	2941526239.6953087	0.0	0.0	1.990610479392102e-18	1.3801715181942883e-16	0.9920103866451037	0.00798961335489623
S231020ba	BBH	1102.3536088352878	1443.7821733761468	285907741.59808165	4.332755632582322e-08	0.0	0.0	0.08125855066318252	0.9117276203168267	0.007013829019990703
S231020bw	BBH	2791.879602303794	887.5054677890037	1653413606.424078	0.0	0.0	7.902891464001242e-35	7.072167673594281e-33	0.9996526605007555	0.00034733949924448115
S231028bg	BBH	3698.1784299878555	1178.6750141537352	2444612265.3321342	0.0	0.0	1.833375655069085e-96	7.593057087545582e-84	1.0	0.0
S231029y	BBH	3846.9151084994714	24219.777919287433	57971892483.54212	0.0	0.0	3.186386639897184e-26	2.772198254299933e-24	0.9999907534623184	9.246537681639744e-06
S231102w	BBH	4090.2331988697256	2554.8063946595	7158824319.127308	0.0	0.0	0.0	0.0	0.9999999999999997	3.3306690738754696e-16
S231104ac	BBH	1381.2635844466693	922.4095116373584	288539480.39750975	0.0	0.0	0.0	0.001966790198677641	0.9962760523301574	0.001757157471165005
S231108u	BBH	2229.4427866097503	1121.439433935198	987262714.7322965	0.0	0.0	0.0	0.0	0.9996844009571729	0.00031559904282707496
S231110g	BBH	1941.8370430458392	1094.8476800544865	751453396.2346615	0.0	0.0	0.0	0.0	0.9675441487642344	0.032455851235765554
S231113bb	BBH	4784.728434599916	2715.6247749255376	14305347937.046495	0.0	0.0	1.4830226192796797e-16	1.0596500990812777e-14	0.9646796856313857	0.03532031436860361
S231113bw	BBH	1419.8820368740226	1499.1224785440374	514198752.5521869	0.0	0.0	0.0	3.843263795628916e-13	0.9596034350323122	0.040396564967303594
S231114n	BBH	1947.091579911888	1507.8732418400296	1053865336.9720325	0.0	0.0	0.0	0.0	0.9998468328715363	0.00015316712846369374
S231118ab	BBH	4431.594350506986	3196.980739733242	12685146199.032328	0.0	0.0	0.0	2.073515625593716e-13	0.9852830995080658	0.014716900491726803
S231118an	BBH	1388.9778038272277	1048.2615299547285	343744883.2339003	0.0	0.0	0.0	0.014868754552434806	0.7428260157247952	0.2423052297227699
S231118d	BBH	2332.9299278248873	1062.6941053979983	1069279863.8245561	0.0	0.0	7.537704339431756e-19	9.414782373496384e-16	0.9998122327777414	0.00018776722225766207
S231119u	BBH	8193.400486749168	4239.68002539686	44285227005.43591	0.0	0.0	0.0	0.0	0.9545699889350915	0.045430011064908515
S231123cg	BBH	1127.274748604809	2714.3045096922265	536385954.3858443	0.0	0.0	0.0	0.0	0.9999923972950012	7.602704998777021e-06
S231127cg	BBH	4744.2354659698385	3284.008998567844	13514815406.117832	0.0	0.0	2.621351222792652e-22	1.996296203465784e-20	0.9955590796043842	0.004440920395615833
S231129ac	BBH	5910.564256405598	3175.3072512713015	20185668231.772915	0.0	0.0	2.014593672532332e-11	5.636026342569505e-09	0.9859787430709316	0.014021251272896107
S231206ca	BBH	3214.918187382143	1986.3731743393514	3704434204.763557	0.0	0.0	2.7712320693090133e-25	7.97763567194698e-20	0.9999815957562007	1.8404243799285958e-05
S231206cc	BBH	1259.1231581466704	445.12570451465194	104711831.07608765	0.0	0.0	0.0	1.1609442144219883e-52	1.0	0.0
S231213ap	BBH	2844.9817409553984	2105.941066814677	3184294827.3201733	0.0	0.0	0.0	2.0080409287893234e-09	0.9999780969281209	2.1901063838147827e-05
S231223j	BBH	1826.6598440712967	3341.8302046600006	2050866410.9541073	0.0	0.0	2.4612632389716566e-21	1.6985729631920917e-19	0.9990506145887423	0.0009493854112576638
S231224e	BBH	902.6398841131137	519.946001343605	58345931.87625295	0.0	0.0	0.0	1.569900615053874e-24	0.996602725	0.003397275
S231226av	BBH	1041.4773994367738	244.12792803687114	34483339.2031934	0.0	0.0	2.741164996279847e-257	2.859181459477976e-255	1.0	0.0
S231231ag	BBH	1099.0157475169922	24218.318638627148	3700542704.5131865	0.0	0.0	1.006926234864147e-33	3.8896552216509164e-28	0.9999999708480558	2.9151944191951884e-08
S240104bl	BBH	1754.104957517013	24219.024333604706	10803688219.081717	0.0	0.0	7.127981617973248e-39	3.0438933863508963e-28	0.9999999997851491	2.148509148369726e-10
S240107b	BBH	3843.936275115316	3960.590072330789	10920636063.097347	0.0	0.0	2.1278912204390906e-11	9.373011169056125e-09	0.9663456907463105	0.033654299859399384
S240109a	BBH	1500.928191157714	24219.892456470716	8385929021.727976	0.0	0.0	1.2080903825160989e-24	8.597701650892804e-23	0.9946635664454825	0.005336433554517517
S240413p	BBH	509.7448609327386	38.09015132870471	992824.9230786049	0.0	0.0	0.0	1.1655003401245998e-19	0.9802851165817024	0.019714883418297635
S240422ed	NSBH	209.00389074875756	403.5214546005256	1087076.1353453042	1.0	0.9949225182638591	1.0351710548560264e-16	0.999986151010447	7.235379608546062e-16	1.3848989552256441e-05
S240426s	BBH	443.50370004586136	4389.120250038919	88433976.4833754	0.0	0.0	0.0	6.275663561630672e-11	0.9826443572277064	0.017355642709536934
S240428dr	BBH	764.9782977327317	285.5123038311955	19268312.68887102	0.0	0.0	1.5321871564450037e-43	1.1475700461137866e-41	0.999999899063289	1.0093671098942991e-07
S240430ca	BBH	8471.981970782243	5091.515726396017	55905527392.953835	0.0	0.0	0.0	1.965235114639847e-08	0.9609562499426865	0.03904373040496234
S240501an	BBH	4777.942888838025	1457.58962594683	6464175219.998999	0.0	0.0	0.0	8.735185842211886e-14	0.9999871303028254	1.2869697087247722e-05
S240505av	BBH	4014.1235754501386	1781.8074169309702	6118742745.946699	0.0	0.0	3.422817486034206e-13	3.496267088553053e-08	0.9852729500274285	0.014727015009558309
S240507p	BBH	1347.461065425233	1236.6606158408072	505609836.49490803	0.0	0.0	2.623763922794792e-15	2.2540894926398188e-10	0.9996899659581417	0.0003100338164466754
S240511i	BBH	1891.2918649895978	116.69200635175771	65788425.027391344	0.0	0.0	0.0	2.746822426853037e-13	0.9999830011866666	1.699881305872175e-05
S240512r	BBH	1073.2846647914796	361.8928751092265	61727322.52992969	0.0	0.0	0.0	0.020476144716649648	0.9777915223761593	0.001732332907190992
S240513ei	BBH	2295.3300374940377	361.85341097843235	332027631.75384706	0.0	0.0	2.5058159172534384e-33	2.2281499195888433e-25	0.9997284383760754	0.0002715616239246099
S240514c	BBH	3677.4448107824837	24218.82388927224	59185479074.26849	0.0	0.0	0.0	0.0003950843290570767	0.9932448127380096	0.00636010293293332
